date,Equity
2021-01-19,1.0
2021-01-20,1.0
2021-01-21,1.0
2021-01-22,1.0
2021-01-25,1.0
2021-01-26,1.0
2021-01-27,1.0
2021-01-28,1.0
2021-01-29,1.0
2021-02-01,0.999
2021-02-02,1.0016178857608053
2021-02-03,1.0054612905361269
2021-02-04,1.0078838485661639
2021-02-05,1.0118353397638127
2021-02-08,1.0168364786838322
2021-02-09,1.0196017468867697
2021-02-10,1.0206540517575204
2021-02-11,1.0197066076368944
2021-02-12,1.021724911467445
2021-02-16,1.0297769921491178
2021-02-17,1.0333311843664694
2021-02-18,1.0235911265789217
2021-02-19,1.0302183108008813
2021-02-22,1.043228148616242
2021-02-23,1.040645613120993
2021-02-24,1.0447778362717075
2021-02-25,1.056775905009947
2021-02-26,1.0396799680091002
2021-03-01,1.0307624308309413
2021-03-02,1.0368653521014493
2021-03-03,1.0477049132674663
2021-03-04,1.0464100827226681
2021-03-05,1.0454826212770905
2021-03-08,1.0608157393157973
2021-03-09,1.0425103734430776
2021-03-10,1.0552115269084124
2021-03-11,1.0445312479026403
2021-03-12,1.0534089352336644
2021-03-15,1.0493807793164414
2021-03-16,1.0433038120908433
2021-03-17,1.0421445516876162
2021-03-18,1.0581946279810566
2021-03-19,1.0555981081255037
2021-03-22,1.0408688383198648
2021-03-23,1.0395703499016944
2021-03-24,1.0493220874141123
2021-03-25,1.0567114789589094
2021-03-26,1.0599571022233452
2021-03-29,1.059706319863199
2021-03-30,1.06537790434564
2021-03-31,1.052367713333185
2021-04-01,1.0448097252259307
2021-04-05,1.036106882118426
2021-04-06,1.037497484988441
2021-04-07,1.0405818356654681
2021-04-08,1.0307333521441029
2021-04-09,1.0261323288984914
2021-04-12,1.0246662341702102
2021-04-13,1.002662830095044
2021-04-14,1.0115326435499021
2021-04-15,1.0065729129984362
2021-04-16,1.0075121057490026
2021-04-19,1.009729212061485
2021-04-20,1.019277239808895
2021-04-21,1.011256592484916
2021-04-22,1.017748771310668
2021-04-23,1.0078570375274358
2021-04-26,1.0046090686247242
2021-04-27,1.0132643312547034
2021-04-28,1.0175789999642255
2021-04-29,1.0350681571362785
2021-04-30,1.0287389032669276
2021-05-03,1.0209430942797852
2021-05-04,1.0123661083905404
2021-05-05,1.0104993852060788
2021-05-06,1.0035979094383958
2021-05-07,1.0078271723685264
2021-05-10,0.9970654242925668
2021-05-11,0.9997304185235467
2021-05-12,0.9950681674641473
2021-05-13,0.9805120512744819
2021-05-14,0.9824186775056479
2021-05-17,0.9805350804435644
2021-05-18,0.9803039132482595
2021-05-19,0.9748682329792208
2021-05-20,0.9853943135210569
2021-05-21,0.985135443514271
2021-05-24,0.9892867789663085
2021-05-25,0.9878675787084036
2021-05-26,0.9908326432229276
2021-05-27,0.9857335370911869
2021-05-28,0.9933455437590728
2021-06-01,0.9861102452709617
2021-06-02,0.9893502793547204
2021-06-03,0.993403633027306
2021-06-04,0.9813984418356799
2021-06-07,0.9779900772476235
2021-06-08,0.9856835363734678
2021-06-09,0.9961307020387737
2021-06-10,0.9970129097201018
2021-06-11,0.9930807505791795
2021-06-14,0.9957666995994652
2021-06-15,1.004426389306083
2021-06-16,1.0101773111527739
2021-06-17,1.0078303665062274
2021-06-18,1.0131528187245493
2021-06-21,1.0124079164663633
2021-06-22,1.009026339385249
2021-06-23,0.9968528664741367
2021-06-24,0.983903386750772
2021-06-25,0.9817517864229134
2021-06-28,0.9689687296035634
2021-06-29,0.9773593307063627
2021-06-30,0.9742252247039371
2021-07-01,0.9740244613238622
2021-07-02,0.979369544928013
2021-07-06,0.992594675572613
2021-07-07,0.995245436342835
2021-07-08,0.9977759980054948
2021-07-09,0.9871224105859162
2021-07-12,0.9784851952401546
2021-07-13,0.9811690721386819
2021-07-14,0.9801808411234515
2021-07-15,0.9719167703426183
2021-07-16,0.9713284790434077
2021-07-19,0.9869674839689181
2021-07-20,0.8882707355720263
2021-07-21,0.8931238351069942
2021-07-22,0.8982258567825067
2021-07-23,0.8874933871008055
2021-07-26,0.8798920876154536
2021-07-27,0.8851268380583708
2021-07-28,0.8817450466911081
2021-07-29,0.8790747633780654
2021-07-30,0.8664376738511325
2021-08-02,0.86576732167176
2021-08-03,0.871028922489202
2021-08-04,0.8621464701421346
2021-08-05,0.8579556818920049
2021-08-06,0.8648667243993724
2021-08-09,0.8611050499735138
2021-08-10,0.8611253169386895
2021-08-11,0.8640192247771669
2021-08-12,0.865094379761043
2021-08-13,0.8633834955394967
2021-08-16,0.8715610304320223
2021-08-17,0.8798895211135171
2021-08-18,0.8720399084132762
2021-08-19,0.8710932748437805
2021-08-20,0.8641235067326573
2021-08-23,0.8522835496007257
2021-08-24,0.8520997941804649
2021-08-25,0.8470437887592175
2021-08-26,0.8522043753282843
2021-08-27,0.8449773246181996
2021-08-30,0.8436215402181002
2021-08-31,0.8429059260676655
2021-09-01,0.8417462782040342
2021-09-02,0.8464851913674785
2021-09-03,0.8481575934334518
2021-09-07,0.8348619543322661
2021-09-08,0.8362296664687233
2021-09-09,0.8294672506138883
2021-09-10,0.837332405847684
2021-09-13,0.8334174039177686
2021-09-14,0.8318488450577631
2021-09-15,0.8337165173753361
2021-09-16,0.8351312724377168
2021-09-17,0.8364094825293218
2021-09-20,0.8314930159984462
2021-09-21,0.8297710801501369
2021-09-22,0.8389939659916729
2021-09-23,0.8466806391576965
2021-09-24,0.8382285475091006
2021-09-27,0.8330998591244754
2021-09-28,0.8314501527844237
2021-09-29,0.8310710928779937
2021-09-30,0.8285000462436531
2021-10-01,0.8259712607243765
2021-10-04,0.8352645318609724
2021-10-05,0.8298490449856267
2021-10-06,0.830497728789846
2021-10-07,0.831256019752734
2021-10-08,0.8333399646202121
2021-10-11,0.8302787847383863
2021-10-12,0.8284476052505696
2021-10-13,0.8247186717460986
2021-10-14,0.8181825308100368
2021-10-15,0.8231325718934709
2021-10-18,0.8119662778855683
2021-10-19,0.8161061328500204
2021-10-20,0.819104975595678
2021-10-21,0.8119210592259142
2021-10-22,0.8198959715804226
2021-10-25,0.7985349865462428
2021-10-26,0.7969020260602292
2021-10-27,0.791911367959917
2021-10-28,0.7840123246501455
2021-10-29,0.7745461223589901
2021-11-01,0.7612960444147093
2021-11-02,0.7535392504805445
2021-11-03,0.7558968266720693
2021-11-04,0.7412492425810039
2021-11-05,0.7376954138403016
2021-11-08,0.7269799348050336
2021-11-09,0.7166274681863296
2021-11-10,0.7327385610143624
2021-11-11,0.726687496002578
2021-11-12,0.7148220152029952
2021-11-15,0.7107343363339098
2021-11-16,0.7102383473813314
2021-11-17,0.7156478460785547
2021-11-18,0.7060348538716917
2021-11-19,0.6988863607720399
2021-11-22,0.7076836965092761
2021-11-23,0.710398872347164
2021-11-24,0.7049450983190434
2021-11-26,0.7099461874914637
2021-11-29,0.6992900403593434
2021-11-30,0.7001242515667988
2021-12-01,0.7029138270394129
2021-12-02,0.7061050920181209
2021-12-03,0.713972534890352
2021-12-06,0.7098259517182762
2021-12-07,0.7066426029598362
2021-12-08,0.6944356070685299
2021-12-09,0.699061476943609
2021-12-10,0.6896478280845694
2021-12-13,0.6920767822710442
2021-12-14,0.7031223381357845
2021-12-15,0.7026299818559621
2021-12-16,0.7106306099425737
2021-12-17,0.7023018597768049
2021-12-20,0.7073480118162802
2021-12-21,0.7023454794183783
2021-12-22,0.6914249194670927
2021-12-23,0.683122535608611
2021-12-27,0.677240518921556
2021-12-28,0.6805709323127209
2021-12-29,0.680133296021259
2021-12-30,0.6821563803891677
2021-12-31,0.6867933849736573
2022-01-03,0.670593923769482
