date,Strategy Returns
2021-01-19,0.0
2021-01-20,0.0
2021-01-21,0.0
2021-01-22,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,0.0
2021-01-28,0.0
2021-01-29,0.0
2021-02-01,-0.0009999999999999998
2021-02-02,0.0026205062670723867
2021-02-03,0.0038371966295332282
2021-02-04,0.002409399598810332
2021-02-05,0.003920581923472924
2021-02-08,0.004942641083466148
2021-02-09,0.0027194817071440887
2021-02-10,0.0010320744094092593
2021-02-11,-0.0009282715519470425
2021-02-12,0.001979298570230603
2021-02-16,0.007880869489722164
2021-02-17,0.0034514193310281414
2021-02-18,-0.009425881977537779
2021-02-19,0.006474444775727266
2021-02-22,0.01262823391796151
2021-02-23,-0.002475523210023293
2021-02-24,0.00397082647407863
2021-02-25,0.011483846921039818
2021-02-26,-0.016177447763332554
2021-03-01,-0.008577194379569756
2021-03-02,0.005920783575307527
2021-03-03,0.010454164703303183
2021-03-04,-0.0012358733154737758
2021-03-05,-0.0008863269390185042
2021-03-08,0.01466606687347623
2021-03-09,-0.017255933518224496
2021-03-10,0.01218323940833993
2021-03-11,-0.01012145786263661
2021-03-12,0.008499207035548389
2021-03-15,-0.0038239241974243323
2021-03-16,-0.0057910029851667155
2021-03-17,-0.0011111436475094902
2021-03-18,0.01540100772723844
2021-03-19,-0.002453726173706668
2021-03-22,-0.013953482572827634
2021-03-23,-0.0012475043640140702
2021-03-24,0.009380546023980028
2021-03-25,0.007042062330935109
2021-03-26,0.003071437501212267
2021-03-29,-0.00023659670718750815
2021-03-30,0.00535203421564299
2021-03-31,-0.012211808560499412
2021-04-01,-0.007181889002766728
2021-04-05,-0.00832959619094542
2021-04-06,0.0013421422963350582
2021-04-07,0.002972875329005363
2021-04-08,-0.009464400764853793
2021-04-09,-0.004463834643596769
2021-04-12,-0.0014287579554723888
2021-04-13,-0.02147372807008206
2021-04-14,0.008846257374492886
2021-04-15,-0.004903183879523784
2021-04-16,0.0009330598294848093
2021-04-19,0.0022005753576864926
2021-04-20,0.009456028045298066
2021-04-21,-0.007868955580213664
2021-04-22,0.006419912487096112
2021-04-23,-0.009719229403238178
2021-04-26,-0.003222648433035528
2021-04-27,0.00861555295516886
2021-04-28,0.0042581867104504
2021-04-29,0.017187026434967702
2021-04-30,-0.006114818454914145
2021-05-03,-0.007578024863632165
2021-05-04,-0.008401042073060324
2021-05-05,-0.0018439210568094533
2021-05-06,-0.006829767408790265
2021-05-07,0.0042141009764531945
2021-05-10,-0.010678168212777986
2021-05-11,0.0026728378760809135
2021-05-12,-0.0046635082548402065
2021-05-13,-0.01462826031985372
2021-05-14,0.001944520955849256
2021-05-17,-0.0019173058342762035
2021-05-18,-0.0002357561701926687
2021-05-19,-0.005544892961844349
2021-05-20,0.010797439269990569
2021-05-21,-0.0002627070232026907
2021-05-24,0.004213974311215897
2021-05-25,-0.0014345691139102481
2021-05-26,0.003001479731120193
2021-05-27,-0.005146283952812284
2021-05-28,0.007722174788075242
2021-06-01,-0.007283768003559916
2021-06-02,0.003285671251563279
2021-06-03,0.004096985422826642
2021-06-04,-0.012084907677498072
2021-06-07,-0.0034729671892296246
2021-06-08,0.007866602437824518
2021-06-09,0.010598904496003923
2021-06-10,0.0008856344649576154
2021-06-11,-0.003943940045897876
2021-06-14,0.002704663259980866
2021-06-15,0.008696504623122122
2021-06-16,0.005725578208537381
2021-06-17,-0.0023232997025723155
2021-06-18,0.005281099275439535
2021-06-21,-0.0007352318864629246
2021-06-22,-0.003340132989987958
2021-06-23,-0.012064573971903378
2021-06-24,-0.012990362127529352
2021-06-25,-0.0021868004082840615
2021-06-28,-0.01302066061517032
2021-06-29,0.008659310508639623
2021-06-30,-0.003206708018186546
2021-07-01,-0.00020607491469541283
2021-07-02,0.0054876276894379825
2021-07-06,0.013503718502469952
2021-07-07,0.0026705369628269864
2021-07-08,0.0025426508580221143
2021-07-09,-0.010677333831315455
2021-07-12,-0.008749892873605095
2021-07-13,0.002742889633469099
2021-07-14,-0.0010071974782860555
2021-07-15,-0.008431169468035312
2021-07-16,-0.000605289791432595
2021-07-19,0.016100634608090806
2021-07-20,-0.1
2021-07-21,0.005463536442909552
2021-07-22,0.005712557962246438
2021-07-23,-0.011948520075057107
2021-07-26,-0.008564908308988426
2021-07-27,0.005949309598979916
2021-07-28,-0.003820685603298419
2021-07-29,-0.0030284075006299363
2021-07-30,-0.014375443424597697
2021-08-02,-0.0007736877095763458
2021-08-03,0.006077384403100591
2021-08-04,-0.010197654885768143
2021-08-05,-0.00486087735119863
2021-08-06,0.008055244173133597
2021-08-09,-0.004349426703254223
2021-08-10,2.353599619048241e-05
2021-08-11,0.003360611726949495
2021-08-12,0.0012443646542163458
2021-08-13,-0.0019776850498310714
2021-08-16,0.009471497816176934
2021-08-17,0.009555831881752018
2021-08-18,-0.008921134428680439
2021-08-19,-0.0010855392744789452
2021-08-20,-0.008001173137713903
2021-08-23,-0.013701695463302114
2021-08-24,-0.00021560362199514915
2021-08-25,-0.005933583666817066
2021-08-26,0.006092467281563262
2021-08-27,-0.008480419626220186
2021-08-30,-0.001604521636970559
2021-08-31,-0.0008482644365028018
2021-09-01,-0.0013757737699640982
2021-09-02,0.005629859360418358
2021-09-03,0.0019757015043245967
2021-09-07,-0.015675906463754292
2021-09-08,0.0016382494487381387
2021-09-09,-0.008086792571461571
2021-09-10,0.00948217693703357
2021-09-13,-0.0046755648086400274
2021-09-14,-0.001882080758851379
2021-09-15,0.0022452063601090346
2021-09-16,0.001696925792995426
2021-09-17,0.0015305499072905686
